No,ID_Review,Platform,Hotel,Tanggal,Text_Review,Aspek,Label_IndoBERT,Label_ClaudeSonnet,Label_Narasumber,_score
126,12197,Traveloka,Megacity Bekasi,2025-12-06,"security hotel sangat baik dan ramah, petugas hotel juga sangat baik dan ramah, ada 1 sih yang agak jutek. tp untung yang lain baik2. makanan2nya enak, ada kids corner tapi lebih baik lagi jika diberi pagar sedikit. terima kasih santika",Kebersihan,Positif,Positif,Tidak ada,1
127,12361,Traveloka,Megacity Bekasi,2023-03-25,"lokasi bagus, tapi pintu kamar mandi di room saya rusak.",Pelayanan,Negatif,Negatif,Tidak ada,1
128,12401,Traveloka,Megacity Bekasi,2022-07-30,"sudah jam check in, tapi room nya belum ready. perlengkapan di kamar mandi, sudah tidak layak.",Lokasi,Positif,Positif,Tidak ada,1
129,12405,Traveloka,Megacity Bekasi,2022-07-23,tempatnya baik. sepi tidak berisik dengan suasana jalanan + langsung terkoneksi dengan pusat perbelanjaan. kolam renang baik buat anak-anak. varian sarapan juga banyak enak.,Pelayanan,Positif,Positif,Tidak ada,1
130,12484,Traveloka,Megacity Bekasi,2021-06-26,"kamar bersih, receptionist ramah, tapi kalau mau gofood agak susah karena hotelnya di atas mall, menu breakfast kurang banyak.",Kebersihan,Positif,Positif,Tidak ada,1
131,12551,Traveloka,Megacity Bekasi,2020-12-05,"akses yang sulit, mereka harus memastikan, customer tidak mendapatkan akses yang sulit untuk datang",Kebersihan,Positif,Positif,Tidak ada,1
132,12581,Traveloka,Megacity Bekasi,2020-07-18,"saya suka sarapannya, enak!",Makanan,Positif,Positif,Positif,3
133,12665,Traveloka,Megacity Bekasi,2019-12-14,"air panas di kamar mandi tidak berfungsi, sudah dibayar dan memesan untuk perpanjangan check out tetapi masih mengetuk oleh layanan kamar karena kurangnya koordinasi dengan staf kantor depan. jika tidak, makanannya enak, ada begitu banyak pilihan menu dari sarapan. bukan layanan khas santika tapi mungkin bisa lebih baik di masa depan.",Kenyamanan,Negatif,Negatif,Negatif,3
134,12672,Traveloka,Megacity Bekasi,2019-12-07,"petugas resepsionis tidak memberikan informasi detail kepada pelanggan, dia tidak tersenyum dan makanannya tidak enak",Pelayanan,Tidak ada,Tidak ada,Negatif,0
135,12801,Traveloka,Megacity Bekasi,2019-06-15,bagus makanan sedap tempat strategis.,Lokasi,Positif,Positif,Positif,3
136,13294,Traveloka,Megacity Bekasi,2018-05-19,"waktu kita check-out. resepsionis lama responnya dan judes. padahal hanya ada 1 pengunjung yang di layani saat itu, dan tidak ramah dan senyum sama sekali, namanya laurnya enak",Lokasi,Positif,Positif,Tidak ada,1
137,13406,Traveloka,Megacity Bekasi,2018-01-13,"mulai dari pelayanan, tempat, dan makanan semua enak nyaman.",Harga,Negatif,Negatif,Tidak ada,1
138,13741,Traveloka,Megacity Bekasi,2017-04-29,akses menuju hotel dari mall kalau malam sedikit membingungkan. selebihnya baik,Makanan,Tidak ada,Tidak ada,Negatif,0
139,13863,Traveloka,Megacity Bekasi,2017-02-04,"sangat memuaskan, lift dari mall ke hotel rada lama.",Kebersihan,Positif,Positif,Tidak ada,1
140,13873,Traveloka,Megacity Bekasi,2017-01-28,ada guest relation yang datang ke kamar untuk nawarin koran. tapi caranya yang main ketuk pintu terus langsung buka pintu itu tidak sopan banget ya.,Kenyamanan,Tidak ada,Tidak ada,Netral,0
141,13886,Traveloka,Megacity Bekasi,2017-01-07,"lantainya berdebu, bedding setnya pemilihannya bahannya yang kasar. ketika order room service, pesanannya lama sekali datangnya. kemudian kembali order room service di jam 11 pm, line room service tidak diangkat, operator juga tidak di angkat (room service 24 hr)",Kebersihan,Positif,Positif,Tidak ada,1
142,13894,Traveloka,Megacity Bekasi,2016-12-31,"kamar bau, tidak wangi. kamar mandi kuranh bersih. makanan sih enak ko",Kenyamanan,Positif,Positif,Netral,0
143,13918,Traveloka,Megacity Bekasi,2016-12-03,"enak dan nyaman, lokasinya strategis",Kebersihan,Negatif,Negatif,Tidak ada,1
144,14137,Traveloka,Tasikmalaya,2023-02-18,"kami selalu menginap di hotel ini setiap kali kami bepergian ke tasikmalaya, baik untuk perjalanan keluarga maupun bisnis. stafnya ramah, makanannya enak, dan mereka menyajikan menu tradisional yang tidak akan anda temukan di tempat lain. kamar bersih dan bernilai uang. kolam renang yang bagus, meskipun saya tidak pernah memiliki kesempatan untuk mencoba gym. hotel ini terletak di sekitar restoran dan makanan jalanan, membuat hidup saya lebih mudah.",Kebersihan,Positif,Positif,Positif,3
145,14511,Traveloka,Tasikmalaya,2018-09-22,"menu sarapan komplet, kamar mandi perlu retouch sedikit dan handuk prefer lebih tebal lagi. saya request smoking room, tapi tidak ada asbak. apa harus request ya?",Kenyamanan,Negatif,Negatif,Negatif,3
146,14573,Traveloka,Tasikmalaya,2018-06-02,"lokasi hotel strategis, dekat dengan kuliner dan tempat bordir khas tasik",Kenyamanan,Positif,Positif,Tidak ada,1
147,14806,Traveloka,Tasikmalaya,2017-02-25,"pelayanan ramah, hotel yang bersih, sarapan yang variatif dan tempat yang strategis di tengah kota. pokoknya recommended hotel deh.",Kebersihan,Tidak ada,Tidak ada,Positif,0
148,14845,Traveloka,Tasikmalaya,2017-01-21,sangat bersih. rapi. wifinya juga cepet. pelayan nya sopan. pokoknya the best la,Kebersihan,Tidak ada,Tidak ada,Positif,0
149,14913,Traveloka,Tasikmalaya,2016-07-09,hotel sahur prasmanan adalah menyenangkan! dan cinta keramahan. semua staf yang ramah kecuali staf meja depan. terima kasih,Lokasi,Netral,Netral,Tidak ada,1
150,15026,Traveloka,Tasikmalaya,2015-08-29,"lokasi strategis, sarapan enak, kamar luas. keluarga senang.",Pelayanan,Positif,Positif,Tidak ada,1
