No.,ID_Review,Text_Review,IndoBERT_Kenyamanan,IndoBERT_Kebersihan,IndoBERT_Pelayanan,IndoBERT_Harga,IndoBERT_Lokasi,IndoBERT_Fasilitas,IndoBERT_Makanan,Claude_Kenyamanan,Claude_Kebersihan,Claude_Pelayanan,Claude_Harga,Claude_Lokasi,Claude_Fasilitas,Claude_Makanan,Expert_Kenyamanan,Expert_Kebersihan,Expert_Pelayanan,Expert_Harga,Expert_Lokasi,Expert_Fasilitas,Expert_Makanan
114,11125,kenyamanan saat istirahat/tidur kurang karena terdengar suara yang berisik seperti suara mesin/pompa air) mungkin karena dapat kamar dekat area pompa/mesin.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,netral,-,-,-,netral,-,-
115,11201,kamarnya kecil type deluxe breakfast baik menunya kamar mandi agak bau selebihnya baik.,-,positif,positif,-,positif,-,-,-,positif,positif,-,positif,-,-,netral,netral,-,-,-,-,-
116,11227,"kalau booked via online booking harus isi special request. saya hampir dikasih smoking room, untungnya tidak jadi.",positif,positif,positif,-,-,negatif,-,positif,positif,positif,-,-,negatif,-,-,-,-,-,-,-,-
117,11335,"bagus, sipp, bagus, tingkatkan terus",-,-,-,-,positif,-,-,-,-,-,-,positif,-,-,-,-,-,-,-,-,-
118,11482,"besar dan bersih, membuat saya merasa seperti di kamar saya sendiri",-,-,positif,-,-,-,-,-,-,positif,-,-,-,-,positif,positif,-,-,-,-,positif
119,11596,sudah baik tapi belum terlalu sesuai dengan tarif,negatif,-,-,-,-,-,-,negatif,-,-,-,-,-,-,-,-,-,-,-,-,-
120,11710,"kebersihan baik, kamarnya small, perlengkapan body masih kurang, cukur, bodylotion tidak ada, akses internet tidak normal, dengan tarif kamar yang ada harusnya sudah lengkap.",-,-,-,-,-,-,-,-,-,-,-,-,-,positif,negatif,-,-,negatif,negatif,-,-
121,11954,pelayanan yang bagus dan lokasi yang bagus,-,-,-,-,-,negatif,-,-,-,-,-,-,negatif,-,-,-,positif,-,-,-,-
122,12009,banyak semut berjalan di teko listriknya. mungkin ada sisa gula atau minuman manis.,negatif,-,-,negatif,-,-,-,negatif,-,-,negatif,-,-,-,-,negatif,-,-,-,-,netral
123,12010,walau semalam. ok semua. sedikit terganggu dengan adanya semut kecil keluar dari besek makan.,positif,-,-,-,-,-,-,positif,-,-,-,-,-,-,-,negatif,-,-,-,-,negatif
124,12138,"bagus service, banget lah pokoknya, pelayanan memuaskan, roomnya juga",positif,positif,positif,-,positif,-,-,positif,positif,positif,-,positif,-,-,-,-,positif,-,-,-,-
125,12148,"kamarnya kecil, check-in baru bisa jam 2 siang jadi harus nunggu lama. tapi pelayanannya bagus, stafnya sangat ramah. bahkan barang saya yang sudah tertinggal lebih dari 1 minggu masih dapat diambil dan tidak hilang. tetapi harus call dulu untuk dicarikan. breakfastnya enak, beragam, dan jam 6 pagi sudah ready.",-,-,positif,-,-,-,-,-,-,positif,-,-,-,-,negatif,-,negatif,-,-,-,positif
126,12197,"security hotel sangat baik dan ramah, petugas hotel juga sangat baik dan ramah, ada 1 sih yang agak jutek. tp untung yang lain baik2. makanan2nya enak, ada kids corner tapi lebih baik lagi jika diberi pagar sedikit. terima kasih santika",-,positif,positif,-,-,-,positif,-,positif,positif,-,-,-,positif,-,-,netral,-,-,-,netral
127,12361,"lokasi bagus, tapi pintu kamar mandi di room saya rusak.",-,-,negatif,-,-,-,-,-,-,negatif,-,-,-,-,-,-,-,-,netral,-,-
128,12401,"sudah jam check in, tapi room nya belum ready. perlengkapan di kamar mandi, sudah tidak layak.",-,-,-,-,positif,-,-,-,-,-,-,positif,-,-,netral,-,-,-,-,-,-
129,12405,tempatnya baik. sepi tidak berisik dengan suasana jalanan + langsung terkoneksi dengan pusat perbelanjaan. kolam renang baik buat anak-anak. varian sarapan juga banyak enak.,-,-,positif,-,-,-,-,-,-,positif,-,-,-,-,-,-,-,-,-,positif,netral
130,12484,"kamar bersih, receptionist ramah, tapi kalau mau gofood agak susah karena hotelnya di atas mall, menu breakfast kurang banyak.",-,positif,-,-,positif,-,-,-,positif,-,-,positif,-,-,netral,-,netral,-,netral,-,netral
131,12551,"akses yang sulit, mereka harus memastikan, customer tidak mendapatkan akses yang sulit untuk datang",-,positif,positif,-,-,-,positif,-,positif,positif,-,-,-,positif,-,-,-,-,negatif,-,-
132,12581,"saya suka sarapannya, enak!",positif,-,positif,-,-,positif,positif,positif,-,positif,-,-,positif,positif,-,-,-,-,-,-,positif
133,12665,"air panas di kamar mandi tidak berfungsi, sudah dibayar dan memesan untuk perpanjangan check out tetapi masih mengetuk oleh layanan kamar karena kurangnya koordinasi dengan staf kantor depan. jika tidak, makanannya enak, ada begitu banyak pilihan menu dari sarapan. bukan layanan khas santika tapi mungkin bisa lebih baik di masa depan.",negatif,-,negatif,-,-,-,-,negatif,-,negatif,-,-,-,-,negatif,-,netral,negatif,-,-,netral
134,12672,"petugas resepsionis tidak memberikan informasi detail kepada pelanggan, dia tidak tersenyum dan makanannya tidak enak",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,negatif,-,-,-,negatif
135,12801,bagus makanan sedap tempat strategis.,negatif,positif,-,-,positif,-,positif,negatif,positif,-,-,positif,-,positif,-,-,-,positif,positif,-,positif
136,13294,"waktu kita check-out. resepsionis lama responnya dan judes. padahal hanya ada 1 pengunjung yang di layani saat itu, dan tidak ramah dan senyum sama sekali, namanya laurnya enak",-,-,-,-,positif,-,-,-,-,-,-,positif,-,-,-,-,negatif,-,-,-,negatif
137,13406,"mulai dari pelayanan, tempat, dan makanan semua enak nyaman.",-,-,-,negatif,-,negatif,-,-,-,-,negatif,-,negatif,-,positif,-,positif,-,-,-,netral
138,13741,akses menuju hotel dari mall kalau malam sedikit membingungkan. selebihnya baik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,negatif
139,13863,"sangat memuaskan, lift dari mall ke hotel rada lama.",-,positif,-,-,positif,-,-,-,positif,-,-,positif,-,-,-,-,-,-,netral,netral,-
140,13873,ada guest relation yang datang ke kamar untuk nawarin koran. tapi caranya yang main ketuk pintu terus langsung buka pintu itu tidak sopan banget ya.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,netral,-,netral,-,-,-,-
141,13886,"lantainya berdebu, bedding setnya pemilihannya bahannya yang kasar. ketika order room service, pesanannya lama sekali datangnya. kemudian kembali order room service di jam 11 pm, line room service tidak diangkat, operator juga tidak di angkat (room service 24 hr)",-,positif,positif,-,-,negatif,negatif,-,positif,positif,-,-,negatif,negatif,-,-,negatif,-,-,-,-
142,13894,"kamar bau, tidak wangi. kamar mandi kuranh bersih. makanan sih enak ko",positif,negatif,-,-,-,-,-,positif,negatif,-,-,-,-,-,netral,netral,-,-,-,-,positif
143,13918,"enak dan nyaman, lokasinya strategis",negatif,negatif,-,-,-,-,negatif,negatif,negatif,-,-,-,-,negatif,positif,-,-,positif,-,-,positif
144,14137,"kami selalu menginap di hotel ini setiap kali kami bepergian ke tasikmalaya, baik untuk perjalanan keluarga maupun bisnis. stafnya ramah, makanannya enak, dan mereka menyajikan menu tradisional yang tidak akan anda temukan di tempat lain. kamar bersih dan bernilai uang. kolam renang yang bagus, meskipun saya tidak pernah memiliki kesempatan untuk mencoba gym. hotel ini terletak di sekitar restoran dan makanan jalanan, membuat hidup saya lebih mudah.",positif,positif,-,-,-,-,-,positif,positif,-,-,-,-,-,-,positif,netral,-,positif,netral,netral
145,14511,"menu sarapan komplet, kamar mandi perlu retouch sedikit dan handuk prefer lebih tebal lagi. saya request smoking room, tapi tidak ada asbak. apa harus request ya?",negatif,positif,positif,-,-,-,positif,negatif,positif,positif,-,-,-,positif,negatif,negatif,-,-,-,negatif,negatif
146,14573,"lokasi hotel strategis, dekat dengan kuliner dan tempat bordir khas tasik",positif,-,-,-,-,-,positif,positif,-,-,-,-,-,positif,-,-,-,-,positif,-,-
147,14806,"pelayanan ramah, hotel yang bersih, sarapan yang variatif dan tempat yang strategis di tengah kota. pokoknya recommended hotel deh.",-,-,-,-,-,-,positif,-,-,-,-,-,-,positif,-,positif,netral,positif,positif,-,netral
148,14845,sangat bersih. rapi. wifinya juga cepet. pelayan nya sopan. pokoknya the best la,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,positif,positif,-,-,negatif,-
149,14913,hotel sahur prasmanan adalah menyenangkan! dan cinta keramahan. semua staf yang ramah kecuali staf meja depan. terima kasih,-,-,-,-,netral,-,-,-,-,-,-,netral,-,-,-,-,positif,-,-,-,netral
150,15026,"lokasi strategis, sarapan enak, kamar luas. keluarga senang.",negatif,-,positif,-,-,-,-,-,-,positif,-,-,negatif,-,positif,-,-,positif,positif,-,positif
