ID_Review,Platform,Nama_Hotel,Review_Date,Text_Review,Kenyamanan,Kebersihan,Pelayanan,Harga,Lokasi,Fasilitas,Makanan,Alasan_Kenyamanan,Alasan_Kebersihan,Alasan_Pelayanan,Alasan_Harga,Alasan_Lokasi,Alasan_Fasilitas,Alasan_Makanan,split
1325,Agoda,Hotel Santika Bogor,11/10/2025,bagus lokasi hotel dekat kebun raya bogor dan ada mall dibawah,none,none,none,none,netral,none,none,,,,,bagus lokasi hotel dekat kebun raya bogor dan ada mall dibawah,,,train
1326,Agoda,Hotel Santika Bogor,11/2/2025,tempat istrht yang cukup strategis untuk yang sedang berlibur ke kota bogor.,none,none,none,none,positif,none,none,,,,,tempat istrht yang cukup strategis untuk yang sedang berlibur ke kota bogor.,,,train
1327,Agoda,Hotel Santika Bogor,10/22/2025,lokasi di sebelah botani mall,none,none,none,none,netral,none,none,,,,,lokasi di sebelah botani mall,,,train
1328,Agoda,Hotel Santika Bogor,10/16/2025,"kemana mana gampang, nempel mal juga",none,none,none,none,positif,none,none,,,,,"kemana mana gampang, nempel mal juga",,,train
1329,Agoda,Hotel Santika Bogor,10/12/2025,"kamarnya luas, bersih, lokasi strategis",none,positif,none,none,positif,none,none,,"kamarnya luas, bersih, lokasi strategis",,,"kamarnya luas, bersih, lokasi strategis",,,train
1330,Agoda,Hotel Santika Bogor,8/23/2025,"kamar luas, bersih, buruk nyaman",positif,positif,none,none,none,none,none,"kamar luas, bersih, buruk nyaman","kamar luas, bersih, buruk nyaman",,,,,,train
1331,Agoda,Hotel Santika Bogor,8/20/2025,semuanya baik terima kasih pelayanannya,none,none,none,none,none,none,none,,,,,,,,train
1332,Agoda,Hotel Santika Bogor,8/14/2025,tapi lebih baik lagi jika ada taman bermain mini untuk anak-anak,none,none,none,none,none,none,none,,,,,,,,train
1333,Agoda,Hotel Santika Bogor,7/24/2025,terlalu ketat belum jam 12 teng d tlp in suruh cek out.,none,none,none,none,none,none,none,,,,,,,,train
1334,Agoda,Hotel Santika Bogor,7/12/2025,"lokasi strategis diatas mall botani, sangat baik pelayanannya, petugas parkir cukup membantu.",none,none,none,none,positif,positif,none,,,,,"lokasi strategis diatas mall botani, sangat baik pelayanannya, petugas parkir cukup membantu.","lokasi strategis diatas mall botani, sangat baik pelayanannya, petugas parkir cukup membantu.",,train
1335,Agoda,Hotel Santika Bogor,7/11/2025,"tapi ada satu kekurangan. masuk ke botani mall suka di tutup sama sekuriti polisi lalu lintas. alasannya padat. ini sangat salah, . apa hak polisi satpam_sekurity menutup akses masuk ke mall dengan alasan parkir penuh! , seharusnya dibiarkan saja masyarakat mengantri untuk masuk mall!",none,none,none,none,none,negatif,none,,,,,,apa hak polisi satpam_sekurity menutup akses masuk ke mall dengan alasan parkir penuh!,,train
1336,Agoda,Hotel Santika Bogor,7/10/2025,sangat nyaman untuk membawa anak main di playground di mall,positif,none,none,none,none,netral,none,sangat nyaman untuk membawa anak main di playground di mall,,,,,sangat nyaman untuk membawa anak main di playground di mall,,train
1337,Agoda,Hotel Santika Bogor,7/7/2025,lokasi sangat strategis,none,none,none,none,positif,none,none,,,,,lokasi sangat strategis,,,validation
1338,Agoda,Hotel Santika Bogor,7/2/2025,pelayanan sgt baik. kamar bersih. lokasi strategis. kekurangan soal parkir dan akses keluar masuk ketika masa libur yang padat,positif,positif,positif,none,positif,netral,none,kamar bersih.,kamar bersih.,pelayanan sgt baik.,,lokasi strategis.,kekurangan soal parkir dan akses keluar masuk ketika masa libur yang padat,,train
1339,Agoda,Hotel Santika Bogor,6/29/2025,keramahan staf combination dengan lokasi yang strategis,none,none,netral,none,positif,none,none,,,keramahan staf combination dengan lokasi yang strategis,,keramahan staf combination dengan lokasi yang strategis,,,train
1340,Agoda,Hotel Santika Bogor,6/18/2025,terima kasih santika. nyaman nginep disini,positif,none,none,none,none,none,none,nyaman nginep disini,,,,,,,train
1341,Agoda,Hotel Santika Bogor,6/17/2025,semuanya baik fasilitas standar lokasi strategis karena dekat dengan mall,none,none,none,none,positif,positif,none,,,,,semuanya baik fasilitas standar lokasi strategis karena dekat dengan mall,semuanya baik fasilitas standar lokasi strategis karena dekat dengan mall,,train
1342,Agoda,Hotel Santika Bogor,6/17/2025,ruangan cukup besar n akses dekat mall,none,none,none,none,positif,none,none,,,,,ruangan cukup besar n akses dekat mall,,,train
1343,Agoda,Hotel Santika Bogor,6/13/2025,semua baik hanya ada sedikit tragedy salah satu lift berhenti tiba tiba dan mati disaat ke 3 ponakan saya hendak turun dari lt. 6 akan tetapi cepat ditanggani oleh pihak hotel. mohon diperhatikan lagi liftnya untuk hotel santika agar tidak terulang kembali. untuk respon saat itu sangat cpt baik lah. sehingga tidak terjadi apa2. tetap rekomen bagi yang ingin menginap disana,none,none,none,none,none,negatif,none,,,,,,ada sedikit tragedy salah satu lift berhenti tiba tiba dan mati disaat ke 3 ponakan,,train
1344,Agoda,Hotel Santika Bogor,4/25/2025,pelayanannya super best banget semua ramah. aku happy bermalam di santika,none,none,positif,none,none,none,none,,,pelayanannya super best banget semua ramah.,,,,,train
1345,Agoda,Hotel Santika Bogor,4/24/2025,"gelas di wastafel pecah, tidak sengaja tersenggol, biaya ganti harga rp. 60. 0, - kemahalan sih menurut saya. padahal baru di daftakan jadi member saya di santika. jadi pikir pikir lagi kalau mau menginap di santika lagi.",none,none,none,netral,none,none,none,,,,"gelas di wastafel pecah, tidak sengaja tersenggol, biaya ganti harga rp.",,,,train
1346,Agoda,Hotel Santika Bogor,4/21/2025,enak cuma parkiran nya harap sabar level dewa,none,none,none,none,none,netral,none,,,,,,enak cuma parkiran nya harap sabar level dewa,,train
1347,Agoda,Hotel Santika Bogor,4/11/2025,ada akses langsung ke mall jd cari makan lebih mudah,none,none,none,none,positif,none,none,,,,,ada akses langsung ke mall jd cari makan lebih mudah,,,train
1348,Agoda,Hotel Santika Bogor,4/9/2025,"untuk fasilitas dan pelayanan yang diberikan terbaik 5/5, namun untuk kualitas breakfast dan kelengkapannya sedikit kurang memuaskan, dengan harga yang terbilang cukup, seharusnya bisa mendapatkan kualitas dan kuantitas breakfast yang sepadan. semoga dikemudian hari bisa segera dievaluasi",none,none,positif,netral,none,positif,netral,,,"untuk fasilitas dan pelayanan yang diberikan terbaik 5/5, namun untuk kualitas","sedikit kurang memuaskan, dengan harga yang terbilang cukup, seharusnya bisa",,"untuk fasilitas dan pelayanan yang diberikan terbaik 5/5, namun","terbaik 5/5, namun untuk kualitas breakfast dan kelengkapannya sedikit kurang memuaskan",train
1349,Agoda,Hotel Santika Bogor,4/7/2025,lokasinya strategis tinggal turun kalau mau ke mall. breakfast lumayan bervariasi,none,none,none,none,positif,none,positif,,,,,lokasinya strategis tinggal turun kalau mau ke mall.,,breakfast lumayan bervariasi,train
1350,Agoda,Hotel Santika Bogor,4/6/2025,terima kasih ya compliment nya,none,none,none,none,none,none,none,,,,,,,,test
1351,Agoda,Hotel Santika Bogor,3/2/2025,akan balik lagi ke sini. terima kasih you,none,none,none,none,none,none,none,,,,,,,,test
1352,Agoda,Hotel Santika Bogor,1/30/2025,terima kasih you santika hotel,none,none,none,none,none,none,none,,,,,,,,train
1353,Agoda,Hotel Santika Bogor,1/28/2025,kamarnya bagus direkomendasikan untuk menginap keluarga,none,none,none,none,none,none,none,,,,,,,,train
1354,Agoda,Hotel Santika Bogor,1/19/2025,pelayanan dan fasilitasnya baik,none,none,positif,none,none,none,none,,,pelayanan dan fasilitasnya baik,,,,,train
1355,Agoda,Hotel Santika Bogor,1/19/2025,"kamar bersih dan wangi, lokasi strategis, staf ramah semua",positif,positif,positif,none,positif,none,none,"kamar bersih dan wangi, lokasi strategis, staf ramah semua","kamar bersih dan wangi, lokasi strategis, staf ramah semua","kamar bersih dan wangi, lokasi strategis, staf ramah semua",,"kamar bersih dan wangi, lokasi strategis, staf ramah semua",,,train
1356,Agoda,Hotel Santika Bogor,1/5/2025,menu sarapan di cek. lgya,none,none,none,none,none,none,netral,,,,,,,menu sarapan di cek.,train
1357,Agoda,Hotel Santika Bogor,1/2/2025,"hotel dengan lokasi strategis. cocok untuk keluarga yang staycation di hotel karena menyatu dengan mall. saya sudah 2x menginap disini di deluxe dan terakhir superior. keduanya baik dan nyaman. breakfast dengan varian lumayan. saran untuk kamar mandi ada shower untuk pancuran. tingkatkan kebersihan di toilet. gantungan baju di kamar mandi agak rusak, tidak ada hair dryer. overall ok. reception, staf ramah2 semua. saya akan kembali lagi karena mmg suasana di kamar betah. trmksh banyak ya. smg koreksi diperbaiki ke depan.",positif,netral,netral,none,positif,negatif,netral,saya akan kembali lagi karena mmg suasana di kamar betah.,tingkatkan kebersihan di toilet.,"reception, staf ramah2 semua.",,hotel dengan lokasi strategis.,"gantungan baju di kamar mandi agak rusak, tidak ada hair dryer.",breakfast dengan varian lumayan.,train
1358,Agoda,Hotel Santika Bogor,12/31/2024,hotel satu lokasi dengan botani square jadi banyak aktivitas dan tempat makan,none,none,none,none,netral,none,none,,,,,hotel satu lokasi dengan botani square jadi banyak aktivitas dan tempat makan,,,test
1359,Agoda,Hotel Santika Bogor,12/30/2024,"overall bagus, tapi kurang 1: playground indoor, untuk hilangkan bisan anak-anak yang lagi membersamai bapaknya tugas kerja, tapi overall lumayan lah",none,none,none,none,none,netral,none,,,,,,"overall bagus, tapi kurang 1: playground indoor, untuk hilangkan bisan anak-anak yang",,test
1360,Agoda,Hotel Santika Bogor,12/26/2024,aku pesan hotel ini untuk kado pernikahan adik. dan alhamdulillah apa semuanya memuaskan dan meminta request untuk di ucapakn happy honeymoon jga disiapkan. terima kasih you santika hotel,none,none,none,none,none,none,none,,,,,,,,train
1361,Agoda,Hotel Santika Bogor,12/24/2024,lokasi strategis deket mall,none,none,none,none,positif,none,none,,,,,lokasi strategis deket mall,,,train
1362,Agoda,Hotel Santika Bogor,12/23/2024,"overall bagus, makanan variatif dan cukup enak",none,none,none,none,none,none,positif,,,,,,,"overall bagus, makanan variatif dan cukup enak",test
1363,Agoda,Hotel Santika Bogor,12/23/2024,bagus semua pelayanannya. n staf2nya baik.,none,none,none,none,none,none,none,,,,,,,,train
1364,Agoda,Hotel Santika Bogor,12/15/2024,"kebersihan bangus, layanan juga bagus",none,none,positif,none,none,none,none,,,"kebersihan bangus, layanan juga bagus",,,,,test
1365,Agoda,Hotel Santika Bogor,10/29/2024,menyenangkan sekali menginap disini menyatu dengan mall deket ke kebon raya bogor suka sekali,none,none,none,none,positif,none,none,,,,,menyenangkan sekali menginap disini menyatu dengan mall deket ke kebon raya bogor suka sekali,,,train
1366,Agoda,Hotel Santika Bogor,10/29/2024,deket dengan mall botani sama kebon raya bogor tidak bosen nginep disini,none,none,none,none,positif,none,none,,,,,deket dengan mall botani sama kebon raya bogor tidak bosen nginep disini,,,train
1367,Agoda,Hotel Santika Bogor,9/19/2024,semuanya baik-baik saja!,none,none,none,none,none,none,none,,,,,,,,train
1368,Agoda,Hotel Santika Bogor,9/16/2024,"lokasi dkt mall botanica, sarapan kurang bervariasi, rasa biasa saja sikat gigi cuma disediakan 1, minta tmbahan dari malam tidak datang2 sampai chekout kran kloset bocor",none,none,none,none,netral,negatif,netral,,,,,"lokasi dkt mall botanica, sarapan kurang bervariasi","bervariasi, rasa biasa saja sikat gigi cuma disediakan 1, minta tmbahan dari malam","lokasi dkt mall botanica, sarapan kurang bervariasi, rasa biasa saja sikat gigi",test
1369,Agoda,Hotel Santika Bogor,8/11/2024,"dari pertama datang sudah disambut dengan pintu yang tidak bisa terbuka dengan aksesnya. jd harus ke lobby lagi dan nunggu teknisi dtg. lumayan perbaikan lebih dari 15 menit. malam harinya berisik sekali ada rombongan yang entah kenapa teriak2 dan loncat2. sempat sabar kurang lebih 1 jam. akhirnya tlp complaint ke pihak hotel. smpai 3x tlp (kurang lebih 30 menitan) masih saja tidak ada perubahan. tlp ke 4x katanya manager sudah naik ke atas, tapi tidak tahan akhirnya saya tegur sendiri group tersebut. setelan saya tegur langsung tamu2 group yang berisik itu, baru manager dtg untuk minta maaf ke saya. pagi hari jam 7 an sudah berisik lagi entah dari mana suara musik / organ tunggal / dangdutan terdengar dari kamar smpai siang jam 11. bnr2 tidak dapat kenyamanan. breakfast juga tidak variatif, rasanya asin banget dari 2 menu yang saya coba. yang pasti tidak akan pernah lagi menginap disini.",negatif,none,none,none,none,none,positif,malam harinya berisik sekali ada rombongan yang entah kenapa teriak2 dan loncat2.,,,,,,"breakfast juga tidak variatif, rasanya asin banget dari 2 menu yang saya coba.",train
1370,Agoda,Hotel Santika Bogor,8/6/2024,"baguss, nyaman, tebaik",positif,none,none,none,none,none,none,"baguss, nyaman, tebaik",,,,,,,train
1371,Agoda,Hotel Santika Bogor,7/20/2024,bagus dekat dengan mall,none,none,none,none,positif,none,none,,,,,bagus dekat dengan mall,,,train
1372,Agoda,Hotel Santika Bogor,6/30/2024,ramah bersih dan ramah anak,none,positif,none,none,none,none,none,,ramah bersih dan ramah anak,,,,,,train
1373,Agoda,Hotel Santika Bogor,6/25/2024,"the best, pelayanan oke, makanan enak, fasilitas lengkap",none,none,netral,none,none,positif,positif,,,"the best, pelayanan oke, makanan enak, fasilitas lengkap",,,"the best, pelayanan oke, makanan enak, fasilitas lengkap","the best, pelayanan oke, makanan enak, fasilitas lengkap",validation
1374,Agoda,Hotel Santika Bogor,6/18/2024,"yah agak sedikit kecewa sih, harga normal tanpa promo tpi malah dapat kamar paling ujung mana lumayan berisik karena deket mesin apa itu saya tidak tau. keran dikamar mandi pun rusak tidak berfungsi. untuk pelayanan dan fasilitas baik, untuk menu sarapan yah tidak bisa berharap banyak dengan harga segitu",negatif,none,positif,positif,none,positif,positif,tanpa promo tpi malah dapat kamar paling ujung mana lumayan berisik karena deket,,"untuk pelayanan dan fasilitas baik, untuk menu sarapan yah tidak","yah agak sedikit kecewa sih, harga normal tanpa promo tpi malah dapat kamar paling",,"untuk pelayanan dan fasilitas baik, untuk menu sarapan yah tidak bisa berharap","dan fasilitas baik, untuk menu sarapan yah tidak bisa berharap banyak dengan",train
1375,Agoda,Hotel Santika Bogor,5/25/2024,"hotel bagus dengan lokasi yang juga bagus, , cuma parkir aja susah, ,",none,none,none,none,netral,netral,none,,,,,"hotel bagus dengan lokasi yang juga bagus, , cuma parkir aja susah, ,","hotel bagus dengan lokasi yang juga bagus, , cuma parkir aja susah, ,",,train
1376,Agoda,Hotel Santika Bogor,5/19/2024,pelayanan dan pengalaman menginap d hotel santika sangat menyenangkan.,none,none,netral,none,none,none,none,,,pelayanan dan pengalaman menginap d hotel santika sangat menyenangkan.,,,,,test
1377,Agoda,Hotel Santika Bogor,5/18/2024,"akses tidak usah ditanya, baik banget, melekat dengan mall terbesar di bogor, layanan standar aja sih, makananya wuenak dan chef2 nya ramah.",none,none,positif,none,none,none,none,,,"dengan mall terbesar di bogor, layanan standar aja sih, makananya wuenak dan chef2 nya",,,,,train
1378,Agoda,Hotel Santika Bogor,5/5/2024,dibawah ekspektasi menu makanan n rasa. tapi masih baik.,none,none,none,none,none,none,netral,,,,,,,dibawah ekspektasi menu makanan n rasa.,test
1379,Agoda,Hotel Santika Bogor,5/1/2024,"asyik staycation di sini, fasilitas baik, kamar bersih dan nyaman, pelayanan staf sangat baik booking murah sama bang jemmyco 085268269398",positif,positif,positif,positif,none,positif,none,"di sini, fasilitas baik, kamar bersih dan nyaman, pelayanan staf sangat baik","di sini, fasilitas baik, kamar bersih dan nyaman, pelayanan staf sangat baik booking","baik, kamar bersih dan nyaman, pelayanan staf sangat baik booking murah sama bang jemmyco",staf sangat baik booking murah sama bang jemmyco 085268269398,,"asyik staycation di sini, fasilitas baik, kamar bersih dan nyaman, pelayanan staf",,train
1380,Agoda,Hotel Santika Bogor,4/20/2024,"memuaskan. lokasi strategis satu bangunan dengan mal besardekat dengan hotel bagus, lokasi strategis, berdampingan dengan mal besar, dekat kebun raya, dan pusat jajan, petugas ramah, respon cepat. sarapan pagi melimpah, akses langsung ke tol jagorawi.",none,none,none,none,positif,none,netral,,,,,lokasi strategis satu bangunan dengan mal besardekat,,"sarapan pagi melimpah, akses langsung ke tol jagorawi.",train
1381,Agoda,Hotel Santika Bogor,4/16/2024,"service memuaskan, masakan enak, staf ramah dan baik",none,none,positif,none,none,none,none,,,"service memuaskan, masakan enak, staf ramah dan baik",,,,,train
1382,Agoda,Hotel Santika Bogor,4/13/2024,"nyaman, kamarnya luas dan letak yang strategis banget",none,none,none,none,positif,none,none,,,,,"nyaman, kamarnya luas dan letak yang strategis banget",,,validation
1383,Agoda,Hotel Santika Bogor,4/12/2024,"menginap disini tidak khawatir kebutuhan tidak terpenuhi, karena segala nya jd mudah.",none,none,none,none,none,none,none,,,,,,,,train
1384,Agoda,Hotel Santika Bogor,4/12/2024,suka dengan hotel ini karena akses ke mall sangat mudah kamar luar pelayanan baik.,none,none,positif,none,none,none,none,,,suka dengan hotel ini karena akses ke mall sangat mudah kamar luar pelayanan baik.,,,,,train
1385,Agoda,Hotel Santika Bogor,4/12/2024,"hotel bersih dan nyaman, overall baik banget, hanya parkir kendaraan yang kurang baik karena kalau keluar cari2 petugasnya dulu",positif,positif,none,none,none,positif,none,"hotel bersih dan nyaman, overall baik banget, hanya parkir kendaraan yang kurang baik karena kalau keluar cari2 petugasnya dulu","hotel bersih dan nyaman, overall baik banget, hanya parkir",,,,"hotel bersih dan nyaman, overall baik banget, hanya parkir kendaraan yang kurang baik karena kalau keluar cari2 petugasnya dulu",,train
1386,Agoda,Hotel Santika Bogor,4/10/2024,hotel yang cukup baik dari segi kebersihan dan enak nya sarapan,none,none,none,none,none,none,positif,,,,,,,hotel yang cukup baik dari segi kebersihan dan enak nya sarapan,train
1387,Agoda,Hotel Santika Bogor,4/9/2024,"lokasi bagus. nama hotelnya benar-benar menggambarkan dirinya sendiri. kenyamanan dan pengalaman selalu luar biasa. nikmati bogor di hotel ini? benar-benar terbaik! ramah keluarga, pilihan terbaik pasangan. para staf sangat membantu dan ramah. keramahan kehangatan indonesia yang terbaik!",none,none,positif,none,positif,none,none,,,para staf sangat membantu dan ramah.,,lokasi bagus.,,,train
1388,Agoda,Hotel Santika Bogor,4/9/2024,secara keseluruhan baik,none,none,none,none,none,none,none,,,,,,,,train
1389,Agoda,Hotel Santika Bogor,4/7/2024,akan balik lagi deh. seneng,none,none,none,none,none,none,none,,,,,,,,train
1390,Agoda,Hotel Santika Bogor,3/16/2024,"mau kemall, ada jalan tembus, mau ke kebun rayatinggal jalan kaki, mall tutuo, kafe tinggal pilih",none,none,none,none,positif,none,none,,,,,"mau kemall, ada jalan tembus, mau ke kebun rayatinggal jalan kaki, mall tutuo, kafe tinggal pilih",,,train
1391,Agoda,Hotel Santika Bogor,3/14/2024,"kamar luas, lokasi strategis di samping mall botani bogor.",positif,none,none,none,positif,none,none,"kamar luas, lokasi strategis di samping mall botani bogor.",,,,"kamar luas, lokasi strategis di samping mall botani bogor.",,,train
1392,Agoda,Hotel Santika Bogor,3/5/2024,"plus: kamar luas, sarapan lengkap byk macam2 nya minus: kolam renang kecil, juga ruang gym terlalu kecil hanya ada 2 treadmil dan 1 sepeda statis",positif,none,none,none,none,netral,positif,"plus: kamar luas, sarapan lengkap byk macam2 nya minus",,,,,"lengkap byk macam2 nya minus: kolam renang kecil, juga ruang gym terlalu kecil hanya ada 2","plus: kamar luas, sarapan lengkap byk macam2 nya minus: kolam renang",train
1393,Agoda,Hotel Santika Bogor,2/27/2024,"hotelnya nyaman, dekat mall",none,none,none,none,positif,none,none,,,,,"hotelnya nyaman, dekat mall",,,validation
1394,Agoda,Hotel Santika Bogor,2/26/2024,"terbaik untuk kenyamanan, keamanan, lokasi yang sangat strategis dri transportasi umum serta pusat perbelanjaan.",none,none,none,none,positif,none,none,,,,,"untuk kenyamanan, keamanan, lokasi yang sangat strategis dri transportasi umum",,,train
1395,Agoda,Hotel Santika Bogor,2/11/2024,"hotel 1 kawasan dengan botani square mall dan dekat kebun raya, di kamar 905 pemandangan kota jakarta dari kejauhan kalau ada kabut terlihat samar2(macam kota saranjana hehehe). untuk kebersihan, makanan dan pelayanan baik banget. saran untuk memperbanyak tontonan televisi dan gambar televisi yang terang (ada beberapa tayangan televisi kabur/berbayang).",netral,none,positif,none,none,netral,positif,"mall dan dekat kebun raya, di kamar 905 pemandangan kota jakarta dari kejauhan kalau",,"untuk kebersihan, makanan dan pelayanan baik banget.",,,saran untuk memperbanyak tontonan televisi dan gambar televisi yang terang (ada beberapa,"untuk kebersihan, makanan dan pelayanan baik banget.",test
1396,Agoda,Hotel Santika Bogor,2/5/2024,enak. bawahnya langsung mall,none,none,none,none,positif,none,none,,,,,bawahnya langsung mall,,,train
1397,Agoda,Hotel Santika Bogor,1/13/2024,santika gusah diraguin lagi semuanya memuaskan dari pelayanan kamar sampai makanan semuanya enak dan bagus banget,none,none,positif,none,none,none,positif,,,lagi semuanya memuaskan dari pelayanan kamar sampai makanan semuanya enak dan bagus,,,,dari pelayanan kamar sampai makanan semuanya enak dan bagus banget,validation
1398,Agoda,Hotel Santika Bogor,1/13/2024,"hotel bagus bersih strategis makanan enak, bagus",none,positif,none,none,positif,none,positif,,"hotel bagus bersih strategis makanan enak, bagus",,,"hotel bagus bersih strategis makanan enak, bagus",,"hotel bagus bersih strategis makanan enak, bagus",train
1399,Agoda,Hotel Santika Bogor,1/9/2024,"hotel nya bersih walaupun tidak terlalu besar, sarapannya lumayan",none,positif,none,none,none,none,none,,"hotel nya bersih walaupun tidak terlalu besar, sarapannya lumayan",,,,,,train
1400,Agoda,Hotel Santika Bogor,1/3/2024,harus menunggu lama sebelum masuk kamar,none,none,negatif,none,none,none,none,,,harus menunggu lama sebelum masuk kamar,,,,,train
1401,Agoda,Hotel Santika Bogor,1/1/2024,"lokasinya strategis, kamarnya bersih. sarapan paginya lumayan banyak pilihan.",none,positif,none,none,positif,none,positif,,"lokasinya strategis, kamarnya bersih.",,,"lokasinya strategis, kamarnya bersih.",,sarapan paginya lumayan banyak pilihan.,train
1402,Agoda,Hotel Santika Bogor,12/27/2023,"fasilitas lengkap dan lokasi yang sangat strategis di dalam komplek mall botani square, bisa ngantre cromboloni di monsier spoon",none,none,none,none,positif,positif,none,,,,,fasilitas lengkap dan lokasi yang sangat strategis di dalam komplek mall,fasilitas lengkap dan lokasi yang sangat strategis di,,train
1403,Agoda,Hotel Santika Bogor,12/27/2023,tempatnya enak dan nyaman banget cocok buat liburan,positif,none,none,none,none,none,none,tempatnya enak dan nyaman banget cocok buat liburan,,,,,,,test
1404,Agoda,Hotel Santika Bogor,12/26/2023,"tempat menyenangkan, fasilitas dan kebersihan sangat baik. pelayanannya juga ramah",none,none,none,none,none,positif,none,,,,,,"tempat menyenangkan, fasilitas dan kebersihan sangat baik.",,test
1405,Agoda,Hotel Santika Bogor,12/25/2023,terima kasih hotel santika bogor. kami puas dengan pelayanan dan fasilitas yang sudah kami terima. kapan2 akan nginep lagi di sini. tks,none,none,netral,none,none,netral,none,,,kami puas dengan pelayanan dan fasilitas yang sudah kami terima.,,,kami puas dengan pelayanan dan fasilitas yang sudah kami terima.,,validation
1406,Agoda,Hotel Santika Bogor,12/25/2023,"secara umum, semua bagus. cuma masalah kapasitas lift yang kecil, menjadikan semua kepuasan tentang kelebihannya menjadi sedikit terganggu. apalagi saat peak seasons, menunggu giliran lift menjadi menyebalkan. saat tengah hari, menjelang mall tutup dipagi hari. rombongan 2 kamar dengan anak kecil menjadi repot saat lift lebih dari 3x kesempatan tidak bisa berhenti karena kapasitas selalu full.",none,none,none,none,none,negatif,none,,,,,,"cuma masalah kapasitas lift yang kecil, menjadikan semua kepuasan tentang",,train
1407,Agoda,Hotel Santika Bogor,12/24/2023,ternyata kamarnya ssngat nyaman,positif,none,none,none,none,none,none,ternyata kamarnya ssngat nyaman,,,,,,,train
1408,Agoda,Hotel Santika Bogor,12/18/2023,"dekat kebun raya, botani square. makanannya enak, staf ramah. baik buat keluarga.",none,none,positif,none,positif,none,positif,,,"makanannya enak, staf ramah.",,"dekat kebun raya, botani square.",,"makanannya enak, staf ramah.",train
1409,Agoda,Hotel Santika Bogor,12/16/2023,"kamar nyaman dan bersih, tempat strategis, menu sarapan paginya enak",positif,positif,none,none,positif,none,positif,"kamar nyaman dan bersih, tempat strategis, menu sarapan paginya enak","kamar nyaman dan bersih, tempat strategis, menu sarapan paginya enak",,,"kamar nyaman dan bersih, tempat strategis, menu sarapan paginya enak",,"kamar nyaman dan bersih, tempat strategis, menu sarapan paginya enak",train
1410,Agoda,Hotel Santika Bogor,12/11/2023,"kamar nyaman, kelebihanya lokasi jadi satu dengan mall aksesnya mudah, cari makan diluuar gampang. kekurangan: parkir penuh, saat ke hotel ada perbaikan jalan, sehingg sangat macet.",positif,none,none,none,netral,negatif,none,"kamar nyaman, kelebihanya lokasi jadi satu dengan mall aksesnya mudah, cari makan diluuar gampang.",,,,"kamar nyaman, kelebihanya lokasi jadi satu dengan mall aksesnya mudah, cari makan diluuar gampang.","kekurangan: parkir penuh, saat ke hotel ada perbaikan jalan, sehingg sangat macet.",,validation
1411,Agoda,Hotel Santika Bogor,12/6/2023,saya sangat puas menginap di sini. dan akan kembali lagi. terus tingkatkan menjadi lebih baik dan pertahankan yang sudah baik,none,none,none,none,none,none,none,,,,,,,,train
1412,Agoda,Hotel Santika Bogor,11/6/2023,"rekomendasi banget pokonya semuanya bagus makanannya enak, fasilitas baik, bersih pokonya tidak nyesel nginep disini",none,positif,none,none,none,positif,positif,,"makanannya enak, fasilitas baik, bersih pokonya tidak nyesel nginep disini",,,,"semuanya bagus makanannya enak, fasilitas baik, bersih pokonya tidak nyesel nginep disini","banget pokonya semuanya bagus makanannya enak, fasilitas baik, bersih pokonya tidak",train
1413,Agoda,Hotel Santika Bogor,11/2/2023,akses yang serba praktis dan segala di dekat hotel karena connecting dengan mall dan connecting dengan akses angkutan tujuan bandara dy damri,none,none,none,none,positif,none,none,,,,,akses yang serba praktis dan segala di dekat hotel karena connecting dengan mall dan connecting den,,,train
1414,Agoda,Hotel Santika Bogor,10/29/2023,lokasi sangat strategis. menyatu dengan mal paling bagus di bogor.,none,none,none,none,positif,none,none,,,,,lokasi sangat strategis.,,,train
1415,Agoda,Hotel Santika Bogor,9/24/2023,hotel yang bagus dengan pelayanan yang sangat baik. semoga bisa menginap disana di trip berikutnya.,none,none,positif,none,none,none,none,,,hotel yang bagus dengan pelayanan yang sangat baik.,,,,,train
1416,Agoda,Hotel Santika Bogor,9/11/2023,sayang air conditioner nya bocor sehingga mengurangi sedikit kenyamanan,negatif,none,none,none,none,negatif,none,sayang air conditioner nya bocor sehingga mengurangi sedikit kenyamanan,,,,,sayang air conditioner nya bocor sehingga mengurangi sedikit kenyamanan,,train
1417,Agoda,Hotel Santika Bogor,7/17/2023,jika di santika bogor - jadi malas untuk kuliner keluar.,none,none,none,none,none,none,none,,,,,,,,validation
1418,Agoda,Hotel Santika Bogor,7/15/2023,"sampe lokasi sudah sore, staf ramah, ruangan pun bersih dan besar. anak suka bermain karena ruangan luas, ingin menambah stay lagi tetapi saat ingin booking via online, sayangnya sudah tidak ada ketersediaan kamar lagi. lain kali boleh kembali lagi kalau ke daerahh bogor, terima kasih",none,positif,positif,none,netral,none,none,,"sampe lokasi sudah sore, staf ramah, ruangan pun bersih dan besar.","sampe lokasi sudah sore, staf ramah, ruangan pun bersih dan besar.",,"sampe lokasi sudah sore, staf ramah, ruangan pun bersih dan besar.",,,train
1419,Agoda,Hotel Santika Bogor,7/4/2023,lokasi sangat strategis dengan kebersihan yang sangat terjaga bahkan aman untuk bayi serta staff-staff nya yang sangat ramah,none,none,positif,none,positif,none,none,,,bahkan aman untuk bayi serta staff-staff nya yang sangat ramah,,lokasi sangat strategis dengan kebersihan yang sangat,,,train
